SECTOR,NOMBRE_SECTOR,SUBSECTOR,RAMA,NOMBRE_RAMA,ESTABLECIMIENTOS,PERSONAL_OCUPADO,TASA_EXPLOTACION,TASA_GANANCIA_NETA,HRS_PARA_SALARIO,HRS_PARA_INFRAESTRUCTURA,HRS_PLUSVALIA_NETA,COSTO_INFRAESTRUCTURA_MDP,PLUSVALIA_NETA_MDP
23,Construcción,236,2361,Edificación residencial,3652,173947,213.3%,80.91%,2.55,0.28,5.17,1960.45,36315.52
31-33,Industrias manufactureras,314,3141,"Confección de alfombras, blancos y similares",3630,25321,136.18%,55.37%,3.39,0.31,4.3,293.98,4087.09
23,Construcción,236,2362,Edificación no residencial,3518,173177,195.28%,65.06%,2.71,0.37,4.92,2796.52,36846.33
23,Construcción,238,2382,Instalaciones y equipamiento en construcciones,3492,42659,165.72%,72.03%,3.01,0.44,4.55,816.06,8425.41
48-49,"Transportes, correos y almacenamiento",484,4842,Autotransporte de carga especializado,3491,168219,117.89%,6.82%,3.67,2.77,1.56,18460.8,10424.06
43,Comercio al por mayor,431,4312,"Comercio al por mayor de bebidas, hielo y tabaco",3478,173600,1053.93%,366.78%,0.69,0.11,7.19,3253.97,208317.81
72,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,721,7213,"Pensiones y casas de huéspedes, y departamentos y casas amueblados con servicios de hotelería",3436,11948,164.83%,8.96%,3.02,1.8,3.18,470.13,829.55
11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza (Solo Pesca y Acuicultura)",112,1125,Acuicultura,3321,30407,358.24%,35.22%,1.75,0.79,5.46,1103.46,7603.88
61,Servicios educativos,611,6115,Escuelas de oficios,3144,13072,84.8%,36.5%,4.33,0.43,3.24,102.85,769.15
31-33,Industrias manufactureras,316,3169,"Fabricación de otros productos de cuero, piel y materiales sucedáneos",3115,14134,121.85%,57.88%,3.61,0.29,4.1,94.4,1313.56
46,Comercio al por menor,462,4622,Comercio al por menor en tiendas departamentales,2929,238450,207.72%,88.76%,2.6,0.17,5.23,2605.55,80857.2
22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",221,2213,"Captación, tratamiento y suministro de agua",2922,134903,79.5%,5.86%,4.46,2.02,1.52,16772.99,12615.21
72,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,722,7223,Servicios de preparación de alimentos por encargo,2916,65253,130.17%,79.19%,3.48,0.19,4.34,316.06,7282.37
54,"Servicios profesionales, científicos y técnicos",541,5415,Servicios de diseño de sistemas de cómputo y servicios relacionados,2820,92366,241.13%,167.71%,2.35,0.14,5.52,551.04,22148.99
51,Información en medios masivos,517,5179,Otros servicios de telecomunicaciones,2722,16237,171.35%,77.39%,2.95,0.39,4.66,239.4,2845.28
71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",711,7111,Compañías y grupos de espectáculos artísticos y culturales,2679,16854,173.39%,39.47%,2.93,0.72,4.35,91.34,549.14
31-33,Industrias manufactureras,339,3391,"Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos",2605,212561,94.11%,44.72%,4.12,0.24,3.64,2731.67,40874.52
31-33,Industrias manufactureras,311,3114,"Conservación de frutas, verduras, guisos y otros alimentos preparados",2504,86430,199.9%,60.69%,2.67,0.38,4.95,2288.13,29635.8
31-33,Industrias manufactureras,315,3151,Fabricación de prendas de vestir de tejido de punto,2498,27828,129.43%,47.09%,3.49,0.39,4.13,306.11,3275.03
21,Minería,212,2123,Minería de minerales no metálicos,2472,28696,237.49%,8.48%,2.37,2.95,2.68,4925.34,4466.68
31-33,Industrias manufactureras,327,3274,"Fabricación de cal, yeso y productos de yeso",2273,10877,308.7%,45.61%,1.96,0.55,5.49,519.82,5152.72
